month,site,site.long.name,lat,lon,MOA,TOA,BC,SO4,NCL,DST,smSS,total.aerosol
AUG,SAM1983-1999F,Marion Island/Prince Edward Island (DOE),32.0,237.081,0,0,0,0,0,0,3.18491062952e-10,0
SEP,SAM1983-1999F,Marion Island/Prince Edward Island (DOE),32.0,237.081,0,0,0,0,0,0,2.00895920435e-10,0
OCT,SAM1983-1999F,Marion Island/Prince Edward Island (DOE),32.0,237.081,0,0,0,0,0,0,3.32873900929e-10,0
NOV,SAM1983-1999F,Marion Island/Prince Edward Island (DOE),32.0,237.081,0,0,0,0,0,0,3.33279270159e-10,0
DEC,SAM1983-1999F,Marion Island/Prince Edward Island (DOE),32.0,237.081,0,0,0,0,0,0,3.02011129636e-10,0
JAN,ICE0023,ML065,33.0,9.848,0,0,0,0,0,0,9.98611232309e-11,0
FEB,ICE0023,ML065,33.0,9.848,0,0,0,0,0,0,1.26093861542e-10,0
MAR,ICE0023,ML065,33.0,9.848,0,0,0,0,0,0,8.00820734804e-11,0
APR,ICE0023,ML065,33.0,9.848,0,0,0,0,0,0,7.6010234801e-11,0
MAY,ICE0023,ML065,33.0,9.848,0,0,0,0,0,0,5.02226806369e-11,0
JUN,ICE0023,ML065,33.0,9.848,0,0,0,0,0,0,5.37804458771e-11,0
JUL,ICE0023,ML065,33.0,9.848,0,0,0,0,0,0,6.78957235358e-11,0
AUG,ICE0023,ML065,33.0,9.848,0,0,0,0,0,0,7.23291802814e-11,0
SEP,ICE0023,ML065,33.0,9.848,0,0,0,0,0,0,7.85140477487e-11,0
OCT,ICE0023,ML065,33.0,9.848,0,0,0,0,0,0,7.84620557325e-11,0
NOV,ICE0023,ML065,33.0,9.848,0,0,0,0,0,0,6.89909480396e-11,0
DEC,ICE0023,ML065,33.0,9.848,0,0,0,0,0,0,1.36151740991e-10,0
JAN,southwest of Australia,Bermuda East-West Composite: HiVol-W41,37.0,166.93,0,0,0,0,0,0,3.71897910035e-10,0
FEB,southwest of Australia,Bermuda East-West Composite: HiVol-W41,37.0,166.93,0,0,0,0,0,0,3.47438837263e-10,0
MAR,southwest of Australia,Bermuda East-West Composite: HiVol-W41,37.0,166.93,0,0,0,0,0,0,3.58354305773e-10,0
APR,southwest of Australia,Bermuda East-West Composite: HiVol-W41,37.0,166.93,0,0,0,0,0,0,2.93663122393e-10,0
MAY,southwest of Australia,Bermuda East-West Composite: HiVol-W41,37.0,166.93,0,0,0,0,0,0,3.1078636809e-10,0
JUN,southwest of Australia,Bermuda East-West Composite: HiVol-W41,37.0,166.93,0,0,0,0,0,0,3.31937665923e-10,0
JUL,southwest of Australia,Bermuda East-West Composite: HiVol-W41,37.0,166.93,0,0,0,0,0,0,2.62104157422e-10,0
AUG,southwest of Australia,Bermuda East-West Composite: HiVol-W41,37.0,166.93,0,0,0,0,0,0,2.84603920113e-10,0
SEP,southwest of Australia,Bermuda East-West Composite: HiVol-W41,37.0,166.93,0,0,0,0,0,0,4.26184084288e-10,0
OCT,southwest of Australia,Bermuda East-West Composite: HiVol-W41,37.0,166.93,0,0,0,0,0,0,3.34291954309e-10,0
NOV,southwest of Australia,Bermuda East-West Composite: HiVol-W41,37.0,166.93,0,0,0,0,0,0,2.78146123446e-10,0
DEC,southwest of Australia,Bermuda East-West Composite: HiVol-W41,37.0,166.93,0,0,0,0,0,0,2.20728691192e-10,0
JAN,ML065,Mace Head,36.905,182.65,0,0,0,0,0,0,4.82952586608e-10,0
FEB,ML065,Mace Head,36.905,182.65,0,0,0,0,0,0,4.32023929022e-10,0
MAR,ML065,Mace Head,36.905,182.65,0,0,0,0,0,0,4.22739467834e-10,0
APR,ML065,Mace Head,36.905,182.65,0,0,0,0,0,0,3.65941566944e-10,0
MAY,ML065,Mace Head,36.905,182.65,0,0,0,0,0,0,2.71970140956e-10,0
JUN,ML065,Mace Head,36.905,182.65,0,0,0,0,0,0,4.18192355644e-10,0
JUL,ML065,Mace Head,36.905,182.65,0,0,0,0,0,0,2.89870380621e-10,0
AUG,ML065,Mace Head,36.905,182.65,0,0,0,0,0,0,2.8948427877e-10,0
SEP,ML065,Mace Head,36.905,182.65,0,0,0,0,0,0,3.89949252693e-10,0
OCT,ML065,Mace Head,36.905,182.65,0,0,0,0,0,0,3.80821739931e-10,0
NOV,ML065,Mace Head,36.905,182.65,0,0,0,0,0,0,4.10514983611e-10,0
DEC,ML065,Mace Head,36.905,182.65,0,0,0,0,0,0,2.86378613938e-10,0
JAN,OKI1991-1994F,ML026,41.0,180.8,0,0,0,0,0,0,4.25498654023e-10,0
FEB,OKI1991-1994F,ML026,41.0,180.8,0,0,0,0,0,0,4.32440579796e-10,0
MAR,OKI1991-1994F,ML026,41.0,180.8,0,0,0,0,0,0,4.04396237398e-10,0
APR,OKI1991-1994F,ML026,41.0,180.8,0,0,0,0,0,0,3.42546618448e-10,0
MAY,OKI1991-1994F,ML026,41.0,180.8,0,0,0,0,0,0,2.89629028283e-10,0
JUN,OKI1991-1994F,ML026,41.0,180.8,0,0,0,0,0,0,3.79273538485e-10,0
JUL,OKI1991-1994F,ML026,41.0,180.8,0,0,0,0,0,0,2.94843204269e-10,0
AUG,OKI1991-1994F,ML026,41.0,180.8,0,0,0,0,0,0,3.08853975202e-10,0
SEP,OKI1991-1994F,ML026,41.0,180.8,0,0,0,0,0,0,3.98051357085e-10,0
OCT,OKI1991-1994F,ML026,41.0,180.8,0,0,0,0,0,0,3.75309178156e-10,0
NOV,OKI1991-1994F,ML026,41.0,180.8,0,0,0,0,0,0,3.54240090177e-10,0
DEC,OKI1991-1994F,ML026,41.0,180.8,0,0,0,0,0,0,2.83065716175e-10,0
JAN,MIA_89-02_M_ng,ML027,33.308,237.279,0,0,0,0,0,0,2.9796620138e-10,0
FEB,MIA_89-02_M_ng,ML027,33.308,237.279,0,0,0,0,0,0,3.68381792611e-10,0
MAR,MIA_89-02_M_ng,ML027,33.308,237.279,0,0,0,0,0,0,4.09528994739e-10,0
