
	BEGIN	END	AVG_CL	AVG_NO|	AVG_SO4	AVG_NA	AVG_SEASALT	AVG_ASSSO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4
	11-3-1995	10-Nov-1995	3.412	0.143	0.931	2.074	6.744	0.408	#N/A	#N/A	#N/A	0.1422
	11-10-1995	17-Nov-1995	5.203	0.347	1.515	2.913	9.472	0.782	#N/A	#N/A	#N/A	0.1934
	11-17-1995	24-Nov-1995	2.960	0.137	1.096	1.787	5.811	0.647	#N/A	#N/A	#N/A	0.1637
	11-24-1995	01-Dec-1995	9.297	0.207	1.412	5.301	17.240	0.077	#N/A	#N/A	#N/A	0.1091
	12-1-1995	08-Dec-1995	4.939	0.976	2.324	3.104	10.095	1.543	#N/A	#N/A	#N/A	0.4027
	12-8-1995	15-Dec-1995	1.693	0.252	0.941	1.279	4.159	0.619	#N/A	#N/A	#N/A	0.1982
	12-15-1995	21-Dec-1995	0.147	0.029	0.254	0.131	0.425	0.221	#N/A	#N/A	#N/A	0.0863
	12-21-1995	05-Jan-1996	0.427	0.121	0.639	0.401	1.303	0.539	#N/A	#N/A	#N/A	0.1657
	1-5-1996	12-Jan-1996	14.990	0.198	2.454	8.205	26.683	0.390	#N/A	#N/A	#N/A	0.1340
	1-12-1996	26-Jan-1996	3.766	0.351	1.262	2.306	7.498	0.681	#N/A	#N/A	#N/A	0.1704
	1-26-1996	01-Feb-1996	3.448	0.350	1.271	2.171	7.061	0.725	#N/A	#N/A	#N/A	0.1866
	2-1-1996	09-Feb-1996	2.038	0.284	0.893	1.572	5.112	0.498	#N/A	#N/A	#N/A	0.1164
	2-9-1996	16-Feb-1996	5.981	0.374	1.316	3.549	11.540	0.424	#N/A	#N/A	#N/A	0.1268
	2-16-1996	23-Feb-1996	4.344	0.504	1.185	2.835	9.220	0.472	#N/A	#N/A	#N/A	0.1179
	2-23-1996	01-Mar-1996	1.007	0.109	0.625	0.728	2.368	0.442	#N/A	#N/A	#N/A	0.1076
	3-1-1996	08-Mar-1996	4.319	0.441	1.122	2.487	8.089	0.496	#N/A	#N/A	#N/A	0.0881
	3-8-1996	15-Mar-1996	3.778	0.326	1.020	1.292	4.200	0.695	#N/A	#N/A	#N/A	0.1067
	3-15-1996	22-Mar-1996	2.650	0.898	1.580	1.811	5.890	1.124	#N/A	#N/A	#N/A	0.2613
	3-22-1996	29-Mar-1996	5.672	0.368	1.242	3.327	10.820	0.404	#N/A	#N/A	#N/A	0.1235
	3-29-1996	04-Apr-1996	2.883	0.510	0.909	1.902	6.185	0.430	#N/A	#N/A	#N/A	0.1286
	4-4-1996	16-Apr-1996	3.965	0.639	1.326	2.371	7.712	0.729	#N/A	#N/A	#N/A	0.1794
	4-16-1996	23-Apr-1996	3.486	0.234	0.768	2.104	6.843	0.238	#N/A	#N/A	#N/A	0.0882
	4-23-1996	26-Apr-1996	0.858	0.362	0.923	0.837	2.723	0.712	#N/A	#N/A	#N/A	0.2159
	4-26-1996	03-May-1996	1.679	0.452	1.645	1.291	4.198	1.320	#N/A	#N/A	#N/A	0.3729
	5-3-1996	10-May-1996	2.823	0.627	0.908	1.893	6.155	0.432	#N/A	#N/A	#N/A	0.1325
	5-10-1996	17-May-1996	3.412	0.692	1.056	2.253	7.328	0.490	#N/A	#N/A	#N/A	0.1449
	5-17-1996	24-May-1996	0.987	0.442	0.986	0.716	2.330	0.806	#N/A	#N/A	#N/A	0.3575
	5-24-1996	31-May-1996	3.967	1.105	1.391	2.557	8.316	0.748	#N/A	#N/A	#N/A	0.1819
	5-31-1996	06-Jun-1996	4.121	0.611	0.976	2.603	8.464	0.321	#N/A	#N/A	#N/A	0.1233
	6-6-1996	13-Jun-1996	6.030	0.670	1.241	3.678	11.961	0.316	#N/A	#N/A	#N/A	0.1560
	6-13-1996	21-Jun-1996	8.093	0.501	1.347	4.599	14.957	0.190	#N/A	#N/A	#N/A	0.0873
	6-21-1996	28-Jun-1996	6.430	0.773	1.940	3.776	12.279	0.990	#N/A	#N/A	#N/A	0.2650
	6-28-1996	05-Jul-1996	7.565	0.610	1.540	4.482	14.575	0.412	#N/A	#N/A	#N/A	0.1323
	7-5-1996	12-Jul-1996	4.145	0.878	1.304	2.693	8.756	0.627	#N/A	#N/A	#N/A	0.2571
	7-12-1996	19-Jul-1996	9.005	0.730	1.613	5.464	17.769	0.238	#N/A	#N/A	#N/A	0.1803
	7-19-1996	26-Jul-1996	4.519	0.678	1.693	2.843	9.245	0.977	#N/A	#N/A	#N/A	0.4581
	7-26-1996	02-Aug-1996	8.314	0.216	1.619	4.661	15.157	0.447	#N/A	#N/A	#N/A	0.1092
	8-2-1996	08-Aug-1996	4.468	0.638	1.258	2.902	9.437	0.527	#N/A	#N/A	#N/A	0.2102
	8-8-1996	16-Aug-1996	6.069	0.388	1.073	3.276	10.652	0.249	#N/A	#N/A	#N/A	0.0679
	8-16-1996	22-Aug-1996	8.619	0.232	1.254	4.626	15.044	0.090	#N/A	#N/A	#N/A	0.0603
	8-22-1996	30-Aug-1996	5.327	0.644	1.441	3.006	9.775	0.685	#N/A	#N/A	#N/A	0.1340
	8-30-1996	06-Sep-1996	4.374	0.223	0.993	2.471	8.036	0.372	#N/A	#N/A	#N/A	0.0920
	9-6-1996	12-Sep-1996	0.741	0.078	0.256	0.480	1.560	0.136	#N/A	#N/A	#N/A	0.0589
	9-12-1996	19-Sep-1996	6.420	0.408	1.275	3.301	10.734	0.444	#N/A	#N/A	#N/A	0.1438
	9-19-1996	27-Sep-1996	4.421	0.451	0.905	2.350	7.643	0.313	#N/A	#N/A	#N/A	0.0742
	9-27-1996	03-Oct-1996	0.602	0.023	0.116	0.369	1.199	0.023	#N/A	#N/A	#N/A	0.0089
	10-3-1996	11-Oct-1996	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	10-11-1996	18-Oct-1996	7.716	0.489	1.465	4.099	13.329	0.433	#N/A	#N/A	#N/A	0.0842
	10-18-1996	24-Oct-1996	2.113	0.155	0.636	1.466	4.766	0.267	#N/A	#N/A	#N/A	0.1088
	10-24-1996	01-Nov-1996	3.952	0.216	1.067	2.495	8.114	0.439	#N/A	#N/A	#N/A	0.1590
	11-1-1996	08-Nov-1996	5.643	0.300	1.303	3.459	11.250	0.433	#N/A	#N/A	#N/A	0.1808
	11-8-1996	15-Nov-1996	7.455	0.192	1.302	4.411	14.344	0.192	#N/A	#N/A	#N/A	0.0615
	11-15-1996	21-Nov-1996	2.874	0.040	0.579	1.962	6.382	0.085	#N/A	#N/A	#N/A	0.0484
