
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_NSSSO4	AVG_MSA	_NA	_V	_AL	_PB210
	3-15-1984	3-22-1984	16.365 	0.273 	3.046 	9.033 	0.773 	#N/A	8.8 	0.058 	59.61 	0.241 
	3-22-1984	3-30-1984	15.314 	0.225 	2.836 	8.456 	0.708 	#N/A	7.4 	0.159 	96.41 	0.170 
	3-30-1984	4-5-1984	11.724 	0.199 	2.265 	6.690 	0.581 	#N/A	5.6 	#N/A	32.61 	0.134 
	4-5-1984	4-19-1984	13.617 	0.119 	2.283 	7.218 	0.466 	#N/A	7.0 	#N/A	16.99 	0.047 
	4-19-1984	4-25-1984	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-25-1984	5-10-1984	10.970 	0.165 	1.849 	5.945 	0.353 	#N/A	6.4 	0.045 	18.30 	#N/A
	5-10-1984	5-24-1984	5.029 	0.035 	0.434 	2.677 	-0.240 	#N/A	0.2 	0.017 	5.53 	#N/A
	5-24-1984	6-14-1984	8.124 	0.128 	1.546 	4.325 	0.457 	#N/A	3.0 	0.043 	3.66 	#N/A
	6-14-1984	6-28-1984	6.857 	0.133 	1.695 	3.859 	0.724 	#N/A	4.1 	#N/A	3.89 	#N/A
	6-28-1984	7-5-1984	4.093 	0.092 	0.940 	2.106 	0.410 	#N/A	2.1 	#N/A	5.57 	#N/A
	7-5-1984	7-19-1984	5.327 	0.152 	1.534 	3.085 	0.758 	#N/A	3.1 	#N/A	2.35 	#N/A
	7-19-1984	8-26-1984	5.499 	1.529 	0.700 	3.296 	-0.129 	#N/A	2.7 	0.037 	3.09 	#N/A
	8-26-1984	9-22-1984	0.467 	0.022 	0.127 	0.268 	0.060 	#N/A	0.3 	0.006 	0.47 	#N/A
	9-22-1984	9-29-1984	10.675 	0.307 	2.129 	6.109 	0.591 	#N/A	5.8 	#N/A	3.86 	#N/A
	9-29-1984	12-5-1984	8.301 	0.140 	1.540 	4.657 	0.367 	#N/A	3.8 	0.023 	5.36 	#N/A
	12-5-1984	1-24-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-24-1985	1-31-1985	12.472 	0.218 	2.182 	6.850 	0.458 	#N/A	5.6 	#N/A	1.30 	#N/A
	1-31-1985	2-7-1985	11.742 	0.327 	2.437 	6.593 	0.778 	#N/A	6.3 	0.058 	13.36 	#N/A
	2-7-1985	2-14-1985	10.130 	0.353 	2.306 	5.942 	0.810 	#N/A	5.4 	0.026 	11.74 	#N/A
	2-14-1985	2-21-1985	4.763 	0.247 	1.710 	2.974 	0.961 	#N/A	3.4 	0.124 	28.61 	#N/A
	2-21-1985	3-7-1985	15.742 	0.445 	4.285 	9.189 	1.972 	#N/A	8.1 	0.273 	110.98 	#N/A
	3-7-1985	3-27-1985	4.046 	0.128 	1.064 	2.384 	0.464 	#N/A	2.6 	0.057 	8.72 	#N/A
	3-27-1985	5-9-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-9-1985	5-16-1985	4.806 	0.241 	1.292 	2.849 	0.575 	#N/A	3.0 	#N/A	3.53 	#N/A
	5-16-1985	5-23-1985	7.827 	0.160 	1.685 	4.476 	0.558 	#N/A	3.0 	#N/A	4.16 	#N/A
	5-23-1985	6-13-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-13-1985	7-4-1985	6.417 	0.152 	1.589 	3.850 	0.620 	#N/A	5.8 	0.208 	6.08 	#N/A
	7-4-1985	8-8-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	8-8-1985	8-15-1985	5.362 	0.144 	1.392 	3.030 	0.630 	#N/A	1.6 	0.062 	87.16 	#N/A
	8-15-1985	8-22-1985	6.028 	0.178 	1.533 	3.575 	0.634 	#N/A	4.5 	#N/A	1.12 	#N/A
	8-22-1985	8-29-1985	6.178 	0.178 	1.568 	3.647 	0.650 	#N/A	4.4 	#N/A	1.99 	#N/A
	8-29-1985	9-12-1985	2.886 	0.122 	0.670 	1.677 	0.248 	#N/A	2.1 	0.015 	1.36 	#N/A
	9-12-1985	9-19-1985	6.448 	0.200 	1.604 	3.714 	0.670 	#N/A	3.8 	#N/A	0.78 	#N/A
	9-19-1985	9-26-1985	4.120 	0.294 	1.844 	2.573 	1.197 	#N/A	6.0 	0.085 	4.25 	#N/A
	9-26-1985	1-16-1986	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-16-1986	1-23-1986	12.786 	0.173 	2.630 	7.331 	0.785 	#N/A	6.5 	0.059 	2.99 	#N/A
	1-23-1986	1-30-1986	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	1-30-1986	2-6-1986	7.880 	0.121 	1.727 	4.457 	0.605 	#N/A	4.6 	0.061 	3.99 	#N/A
	2-6-1986	2-13-1986	10.326 	0.107 	1.798 	5.335 	0.455 	#N/A	4.6 	0.063 	10.28 	#N/A
	2-13-1986	2-27-1986	9.047 	0.152 	2.111 	5.330 	0.769 	#N/A	2.6 	0.068 	2.97 	#N/A
	2-27-1986	3-21-1986	7.618 	0.128 	1.602 	4.372 	0.501 	#N/A	4.5 	0.102 	5.92 	#N/A
	3-21-1986	3-27-1986	5.098 	0.062 	0.959 	2.756 	0.265 	#N/A	3.0 	#N/A	2.87 	#N/A
	3-27-1986	4-3-1986	7.257 	0.165 	1.734 	4.278 	0.657 	#N/A	4.2 	#N/A	16.10 	#N/A
	4-3-1986	4-10-1986	7.816 	0.170 	1.731 	4.432 	0.615 	#N/A	4.4 	0.165 	9.39 	#N/A
	4-10-1986	4-17-1986	9.762 	0.249 	2.479 	5.622 	1.064 	#N/A	5.2 	0.171 	27.27 	#N/A
	4-17-1986	5-1-1986	8.452 	0.155 	1.854 	4.821 	0.640 	#N/A	4.4 	0.120 	12.25 	#N/A
	5-1-1986	5-8-1986	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-8-1986	5-23-1986	5.986 	0.106 	1.289 	3.390 	0.436 	#N/A	3.1 	0.042 	1.45 	#N/A
	5-23-1986	5-29-1986	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	5-29-1986	6-6-1986	3.873 	0.122 	1.005 	2.145 	0.465 	#N/A	1.9 	0.075 	2.13 	#N/A
	6-6-1986	6-23-1986	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	6-23-1986	6-30-1986	6.443 	0.153 	1.603 	3.587 	0.700 	#N/A	#N/A	#N/A	0.20 	#N/A
	6-30-1986	7-8-1986	5.663 	0.142 	1.360 	3.098 	0.581 	#N/A	#N/A	#N/A	0.20 	#N/A
	7-8-1986	8-14-1986	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
