
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4	_NA	_V	_AL	_BE7	_PB210
	9-29-1984	10-9-1984	4.074	0.159	0.947	2.316	0.364	#N/A	#N/A	0.107	#N/A	2.3	0.079	8.6	#N/A	#N/A
	10-9-1984	10-17-1984	8.080	0.276	1.498	4.480	0.371	#N/A	#N/A	0.234	#N/A	3.8	0.114	18.7	#N/A	#N/A
	10-17-1984	10-21-1984	7.307	0.450	1.606	4.139	0.564	#N/A	#N/A	0.951	#N/A	5.2	0.477	76.1	#N/A	#N/A
	10-21-1984	10-29-1984	5.655	0.297	1.136	3.170	0.338	#N/A	#N/A	0.292	#N/A	3.4	0.166	23.4	#N/A	#N/A
	10-29-1984	11-4-1984	6.193	0.164	1.153	3.372	0.304	#N/A	#N/A	0.094	#N/A	3.6	0.025	7.5	#N/A	#N/A
	11-4-1984	11-12-1984	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-12-1984	11-16-1984	9.721	0.299	1.691	5.219	0.378	#N/A	#N/A	0.875	#N/A	4.9	0.176	70.0	#N/A	#N/A
	11-16-1984	11-25-1984	13.791	0.219	2.161	7.502	0.273	#N/A	#N/A	0.239	#N/A	6.6	0.110	19.1	#N/A	#N/A
	11-25-1984	12-8-1984	7.494	0.179	1.328	4.197	0.272	#N/A	#N/A	0.071	#N/A	4.1	0.057	5.7	#N/A	#N/A
	12-8-1984	12-16-1984	16.822	0.265	2.941	9.390	0.577	#N/A	#N/A	0.274	#N/A	9.5	0.099	21.9	#N/A	#N/A
	12-16-1984	12-22-1984	15.295	0.157	2.314	8.205	0.249	#N/A	#N/A	0.890	#N/A	7.3	0.071	71.2	#N/A	#N/A
	12-22-1984	12-30-1984	6.613	0.286	1.086	3.664	0.164	#N/A	#N/A	1.390	#N/A	9.6	0.236	111.2	#N/A	#N/A
	12-30-1984	1-6-1985	7.666	0.338	1.456	4.102	0.423	#N/A	#N/A	#N/A	#N/A	4.2	0.687	#N/A	#N/A	#N/A
	1-6-1985	1-13-1985	12.127	1.023	2.245	6.681	0.564	#N/A	#N/A	0.765	#N/A	6.0	0.408	61.2	#N/A	#N/A
	1-13-1985	1-22-1985	9.484	0.710	2.068	5.272	0.741	#N/A	#N/A	0.454	#N/A	5.8	0.271	36.4	#N/A	#N/A
	1-22-1985	1-30-1985	2.872	0.559	0.769	1.560	0.376	#N/A	#N/A	0.206	#N/A	1.6	0.659	16.5	#N/A	#N/A
	1-30-1985	2-8-1985	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-8-1985	2-16-1985	6.705	0.421	1.842	3.696	0.912	#N/A	#N/A	0.292	#N/A	3.8	0.201	23.4	#N/A	#N/A
	2-16-1985	2-24-1985	7.302	0.269	1.777	4.357	0.681	#N/A	#N/A	0.122	#N/A	4.6	0.138	9.8	3.457	#N/A
	2-24-1985	3-5-1985	16.196	0.188	2.489	8.876	0.255	#N/A	#N/A	0.830	#N/A	10.0	0.055	66.4	2.689	#N/A
	3-5-1985	3-10-1985	18.747	0.211	2.854	10.224	0.280	#N/A	#N/A	2.343	#N/A	9.7	0.249	187.5	2.455	#N/A
	3-10-1985	3-19-1985	11.460	0.204	1.869	6.270	0.291	#N/A	#N/A	1.425	#N/A	5.8	0.196	114.0	2.622	#N/A
	3-19-1985	3-23-1985	11.229	0.174	1.789	6.127	0.247	#N/A	#N/A	1.581	#N/A	6.8	0.171	126.5	1.653	#N/A
	3-23-1985	3-31-1985	15.027	0.209	2.427	8.192	0.365	#N/A	#N/A	1.303	#N/A	7.1	0.122	104.2	2.372	#N/A
	3-31-1985	4-8-1985	8.119	0.376	1.804	3.986	0.801	#N/A	#N/A	1.707	#N/A	4.2	0.244	136.5	3.641	#N/A
	4-8-1985	4-17-1985	23.058	1.176	4.670	12.520	1.519	#N/A	#N/A	2.531	#N/A	12.3	0.485	202.5	8.585	#N/A
	4-17-1985	4-26-1985	4.989	0.191	1.155	2.884	0.429	#N/A	#N/A	0.477	#N/A	3.1	0.074	38.1	2.014	#N/A
	4-26-1985	5-5-1985	7.611	0.514	2.496	4.561	1.348	#N/A	#N/A	4.829	#N/A	5.1	0.571	386.3	5.082	#N/A
	5-5-1985	5-12-1985	9.346	0.365	1.980	5.124	0.691	#N/A	#N/A	3.436	#N/A	4.5	0.489	274.8	3.274	#N/A
	5-12-1985	5-24-1985	16.110	0.629	3.414	7.849	1.438	#N/A	#N/A	1.579	#N/A	7.9	0.347	126.3	3.441	#N/A
