
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_SEASALT	AVG_SO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4
	8-13-1990	8-20-1990	4.427	0.063	1.001	2.586	8.409	0.350	#N/A	#N/A	#N/A	0.0408
	8-20-1990	8-27-1990	4.224	0.119	1.472	2.600	8.457	0.818	#N/A	#N/A	#N/A	0.1286
	8-27-1990	9-3-1990	6.668	0.045	1.840	3.839	12.485	0.874	#N/A	#N/A	#N/A	0.2241
	9-3-1990	9-10-1990	4.695	0.117	1.721	2.739	8.909	1.031	#N/A	#N/A	#N/A	0.3017
	9-10-1990	9-17-1990	4.389	0.074	1.174	2.579	8.386	0.525	#N/A	#N/A	#N/A	0.1253
	9-17-1990	9-24-1990	7.986	0.057	1.957	4.455	14.487	0.836	#N/A	#N/A	#N/A	0.1295
	9-24-1990	10-1-1990	4.054	0.130	1.471	2.435	7.918	0.859	#N/A	#N/A	#N/A	0.1874
	10-1-1990	10-8-1990	5.940	0.106	1.324	3.450	11.220	0.456	#N/A	#N/A	#N/A	0.0563
	10-8-1990	10-15-1990	3.072	0.060	0.833	1.833	5.960	0.372	#N/A	#N/A	#N/A	0.0537
	10-15-1990	10-22-1990	1.750	0.060	0.497	1.257	4.089	0.180	#N/A	#N/A	#N/A	0.0246
	10-22-1990	10-29-1990	4.680	0.169	1.359	2.736	8.897	0.671	#N/A	#N/A	#N/A	0.0963
	10-29-1990	11-5-1990	2.095	0.048	0.926	1.363	4.432	0.583	#N/A	#N/A	#N/A	0.0814
	11-5-1990	11-12-1990	4.017	0.125	1.090	2.326	7.565	0.505	#N/A	#N/A	#N/A	0.0763
	11-12-1990	11-19-1990	5.332	0.084	3.497	4.394	14.291	2.391	#N/A	#N/A	#N/A	0.0595
	11-19-1990	11-26-1990	4.953	0.057	1.116	2.842	9.241	0.401	#N/A	#N/A	#N/A	0.0644
	11-26-1990	12-3-1990	4.791	0.071	1.383	2.802	9.113	0.678	#N/A	#N/A	#N/A	0.0932
	12-3-1990	12-10-1990	2.959	0.066	1.087	1.814	5.900	0.631	#N/A	#N/A	#N/A	0.1171
	12-10-1990	12-17-1990	4.809	0.064	1.189	2.700	8.781	0.509	#N/A	#N/A	#N/A	0.0813
	12-17-1990	12-24-1990	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-24-1990	1-1-1991	3.392	0.107	1.145	2.117	6.885	0.612	#N/A	#N/A	#N/A	0.1208
	1-1-1991	1-7-1991	1.770	0.044	0.864	1.745	5.673	0.425	#N/A	#N/A	#N/A	0.0783
	1-7-1991	1-14-1991	4.570	0.212	1.927	2.872	9.340	1.204	#N/A	#N/A	#N/A	0.2699
	1-14-1991	1-21-1991	2.804	0.077	1.256	1.735	5.641	0.819	#N/A	#N/A	#N/A	0.2042
	1-21-1991	1-28-1991	3.810	0.076	0.968	2.228	7.245	0.407	#N/A	#N/A	#N/A	0.0732
	1-28-1991	2-4-1991	4.055	0.168	1.456	2.469	8.030	0.835	#N/A	#N/A	#N/A	0.1691
	2-4-1991	2-11-1991	2.319	0.070	0.811	1.431	4.654	0.451	#N/A	#N/A	#N/A	0.1125
	2-11-1991	2-18-1991	4.263	0.125	1.279	2.568	8.352	0.632	#N/A	#N/A	#N/A	0.1464
	2-18-1991	2-25-1991	2.960	0.091	0.941	1.773	5.765	0.495	#N/A	#N/A	#N/A	0.0651
	2-25-1991	3-4-1991	5.985	0.173	1.485	3.457	11.242	0.615	#N/A	#N/A	#N/A	0.1188
	3-4-1991	3-11-1991	4.704	0.111	2.167	2.713	8.823	1.485	#N/A	#N/A	#N/A	0.0809
	3-11-1991	3-18-1991	4.170	0.109	1.015	2.402	7.810	0.410	#N/A	#N/A	#N/A	0.0621
	3-18-1991	3-26-1991	3.625	0.090	0.947	2.036	6.622	0.434	#N/A	#N/A	#N/A	0.0687
	3-26-1991	4-1-1991	1.860	0.077	0.719	1.311	4.262	0.389	#N/A	#N/A	#N/A	0.0812
	4-1-1991	4-8-1991	4.467	0.180	1.154	3.003	9.767	0.398	#N/A	#N/A	#N/A	0.0628
	4-8-1991	4-15-1991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	4-15-1991	4-22-1991	3.456	0.086	0.919	2.022	6.574	0.410	#N/A	#N/A	#N/A	0.0425
	4-22-1991	4-29-1991	4.908	0.107	1.064	2.756	8.962	0.370	#N/A	#N/A	#N/A	0.0341
	4-29-1991	5-6-1991	3.752	0.136	0.998	2.157	7.014	0.455	#N/A	#N/A	#N/A	0.0667
	5-6-1991	5-13-1991	3.974	0.089	1.120	2.307	7.501	0.540	#N/A	#N/A	#N/A	0.1014
	5-13-1991	5-20-1991	2.780	0.130	1.128	1.805	5.869	0.674	#N/A	#N/A	#N/A	0.1443
	5-20-1991	5-27-1991	2.822	0.044	0.726	1.668	5.425	0.306	#N/A	#N/A	#N/A	0.1088
	5-27-1991	6-3-1991	2.974	0.042	0.833	1.769	5.754	0.388	#N/A	#N/A	#N/A	0.1288
	6-3-1991	6-10-1991	4.092	0.056	0.974	2.440	7.935	0.360	#N/A	#N/A	#N/A	0.0680
	6-10-1991	6-17-1991	4.867	0.036	1.335	2.973	9.668	0.587	#N/A	#N/A	#N/A	0.0831
	6-17-1991	6-24-1991	1.920	0.040	0.607	1.329	4.321	0.273	#N/A	#N/A	#N/A	0.1087
	6-24-1991	7-1-1991	3.139	0.051	0.841	1.835	5.967	0.379	#N/A	#N/A	#N/A	0.1257
	7-1-1991	7-7-1991	3.528	0.089	0.956	2.037	6.624	0.443	#N/A	#N/A	#N/A	0.0969
	7-7-1991	7-15-1991	4.190	0.040	0.824	2.401	7.808	0.220	#N/A	#N/A	#N/A	0.0473
	7-15-1991	7-21-1991	3.146	0.228	1.104	1.822	5.924	0.645	#N/A	#N/A	#N/A	0.1287
	7-21-1991	7-29-1991	3.897	0.061	1.043	2.241	7.287	0.479	#N/A	#N/A	#N/A	0.0433
	7-29-1991	8-4-1991	3.796	0.065	0.807	2.327	7.566	0.221	#N/A	#N/A	#N/A	0.0210
	8-4-1991	8-11-1991	1.269	0.071	0.403	0.815	2.649	0.198	#N/A	#N/A	#N/A	0.0565
	8-11-1991	8-18-1991	3.100	0.148	1.708	1.855	6.033	1.241	#N/A	#N/A	#N/A	0.1401
	8-18-1991	8-25-1991	4.912	0.085	2.708	2.855	9.285	1.989	#N/A	#N/A	#N/A	0.0201
	8-25-1991	9-1-1991	4.237	0.062	1.670	2.490	8.096	1.043	#N/A	#N/A	#N/A	0.0321
	9-1-1991	9-8-1991	3.390	0.106	1.616	1.974	6.418	1.119	#N/A	#N/A	#N/A	0.0428
	9-8-1991	9-15-1991	5.935	0.228	2.149	3.316	10.782	1.314	#N/A	#N/A	#N/A	0.1451
	9-15-1991	9-22-1991	2.980	0.081	0.712	1.766	5.743	0.267	#N/A	#N/A	#N/A	0.0550
	9-22-1991	9-29-1991	3.994	0.104	1.169	2.352	7.648	0.578	#N/A	#N/A	#N/A	0.0784
	9-29-1991	10-6-1991	4.730	0.045	1.461	2.641	8.589	0.796	#N/A	#N/A	#N/A	0.0397
	10-6-1991	10-13-1991	2.653	0.083	0.852	1.489	4.842	0.477	#N/A	#N/A	#N/A	0.0212
	10-13-1991	10-22-1991	4.199	0.075	1.048	2.426	7.891	0.437	#N/A	#N/A	#N/A	0.0592
	10-22-1991	10-28-1991	4.204	0.078	0.969	2.447	7.958	0.353	#N/A	#N/A	#N/A	0.0392
	10-29-1991	11-3-1991	2.404	0.234	1.516	1.553	5.051	1.125	#N/A	#N/A	#N/A	0.2349
	11-3-1991	11-10-1991	1.089	0.020	0.353	0.761	2.476	0.161	#N/A	#N/A	#N/A	0.0132
	11-10-1991	11-18-1991	3.028	0.102	1.270	1.770	5.757	0.824	#N/A	#N/A	#N/A	0.1496
	11-18-1991	11-25-1991	2.504	0.047	0.733	1.425	4.633	0.374	#N/A	#N/A	#N/A	0.0769
	11-25-1991	12-1-1991	3.156	0.114	1.301	1.886	6.133	0.827	#N/A	#N/A	#N/A	0.1396
	12-1-1991	12-9-1991	3.175	0.108	1.254	1.908	6.205	0.773	#N/A	#N/A	#N/A	0.1285
	12-9-1991	12-16-1991	2.690	0.071	0.964	1.631	5.305	0.553	#N/A	#N/A	#N/A	0.0836
	12-16-1991	12-23-1991	2.391	0.031	0.861	1.386	4.508	0.512	#N/A	#N/A	#N/A	0.0588
	12-23-1991	12-30-1991	2.506	0.087	0.842	1.486	4.833	0.468	#N/A	#N/A	#N/A	0.0677
	12-30-1991	1-5-1992	3.311	0.100	1.668	1.962	6.381	1.174	#N/A	#N/A	#N/A	0.2274
	1-5-1992	1-13-1992	2.934	0.112	1.307	1.957	6.363	0.815	#N/A	#N/A	#N/A	0.0849
	1-13-1992	1-20-1992	4.296	0.055	1.278	2.582	8.398	0.628	#N/A	#N/A	#N/A	0.1114
	1-20-1992	1-27-1992	2.143	0.302	1.462	1.706	5.548	1.033	#N/A	#N/A	#N/A	0.1915
