
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_SEASALT	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4	_NA	_V	_AL	_BE7	_PB210
	10-27-1983	11-3-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-3-1983	11-10-1983	6.020	0.262	1.183	3.395	11.040	0.328	#N/A	#N/A	0.329	#N/A	4.40	0.192	26.4	#N/A	#N/A
	11-10-1983	11-17-1983	15.863	0.279	2.675	8.597	27.956	0.511	#N/A	#N/A	0.663	#N/A	12.80	0.311	53.1	#N/A	#N/A
	11-17-1983	11-24-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	11-24-1983	12-1-1983	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	12-1-1983	12-8-1983	7.817	0.414	1.656	4.513	14.678	0.520	#N/A	#N/A	0.228	#N/A	5.40	0.120	18.2	#N/A	#N/A
	12-8-1983	12-15-1983	2.691	0.032	0.410	1.528	4.969	0.025	#N/A	#N/A	0.033	#N/A	1.90	0.047	2.6	#N/A	#N/A
	12-15-1983	12-22-1983	8.357	0.108	1.080	4.549	14.794	-0.065	#N/A	#N/A	0.053	#N/A	3.90	#N/A	4.3	#N/A	#N/A
	12-22-1983	12-29-1983	11.323	0.076	1.631	6.483	21.082	-0.001	#N/A	#N/A	0.535	#N/A	1.70	0.112	42.8	#N/A	#N/A
	12-29-1983	1-5-1984	3.520	0.024	0.521	1.864	6.062	0.052	#N/A	#N/A	0.022	#N/A	1.80	#N/A	1.7	#N/A	#N/A
	1-5-1984	1-12-1984	6.498	0.017	0.811	3.555	11.562	-0.083	#N/A	#N/A	0.007	#N/A	3.40	#N/A	0.6	#N/A	#N/A
	1-12-1984	1-19-1984	2.199	0.003	0.289	1.213	3.945	-0.016	#N/A	#N/A	0.035	#N/A	0.60	#N/A	2.8	#N/A	#N/A
