
	DATE	N_CL	AVG_CL	STD_CL	MED_CL	P16_CL	P84_CL	N_NO3	AVG_NO3	STD_NO3	MED_NO3	P16_NO3	P84_NO3	N_SO4	AVG_SO4	STD_SO4	MED_SO4	P16_SO4	P84_SO4	N_NA	AVG_NA	STD_NA	MED_NA	P16_NA	P84_NA	N_NSSSO4	AVG_NSSSO4	_NSSSO4BIO	_NSSSO4NBIO	STD_NSSSO4	MED_NSSSO4	P16_NSSSO4	P84_NSSSO4	N_MSA	AVG_MSA	STD_MSA	MED_MSA	P16_MSA	P84_MSA	N_DUST	AVG_DUST	STD_DUST	MED_DUST	P16_DUST	P84_DUST	N_NH4	AVG_NH4	STD_NH4	MED_NH4	P16_NH4	P84_NH4
	3-1-1992	16	0.502	0.520	0.320	0.207	0.682	16	0.569	0.398	0.412	0.258	0.969	16	0.560	0.413	0.434	0.341	0.565	16	0.396	0.387	0.223	0.198	0.488	16	0.460	0.054	0.407	0.324	0.368	0.274	0.492	12	0.0030	0.0011	0.0028	0.0020	0.0033	13	0.73	0.43	0.60	0.33	1.25	16	0.186	0.164	0.135	0.082	0.257
	4-1-1992	22	1.145	1.295	0.437	0.174	2.751	22	1.001	0.592	0.819	0.505	1.582	22	1.719	1.947	0.562	0.400	4.134	22	0.950	1.002	0.404	0.197	2.336	22	1.480	0.130	1.349	1.700	0.502	0.335	3.550	19	0.0072	0.0092	0.0052	0.0031	0.0081	18	68.82	107.30	2.68	0.54	198.75	22	0.285	0.234	0.173	0.118	0.491
	5-1-1992	22	0.453	0.364	0.315	0.188	0.647	22	0.768	0.343	0.689	0.438	1.042	22	0.728	0.292	0.655	0.481	0.936	22	0.418	0.274	0.345	0.202	0.613	22	0.623	0.094	0.529	0.249	0.560	0.367	0.876	14	0.0052	0.0058	0.0036	0.0027	0.0056	12	2.81	2.85	2.32	0.76	3.96	22	0.247	0.112	0.248	0.135	0.324
	6-1-1992	30	0.350	0.268	0.260	0.166	0.524	30	0.843	0.352	0.855	0.563	1.252	29	0.762	0.436	0.642	0.475	1.066	30	0.350	0.230	0.290	0.181	0.466	29	0.672	0.091	0.581	0.407	0.580	0.400	0.943	25	0.0050	0.0081	0.0030	0.0019	0.0056	27	2.18	3.12	0.79	0.35	6.07	30	0.273	0.367	0.163	0.118	0.279
	7-1-1992	21	0.373	0.341	0.219	0.149	0.567	21	1.162	0.897	0.960	0.662	1.537	21	1.117	1.075	0.626	0.433	2.228	21	0.255	0.209	0.200	0.087	0.408	21	1.053	0.088	0.964	1.052	0.619	0.374	2.074	19	0.0049	0.0041	0.0035	0.0025	0.0057	19	8.71	15.03	0.72	0.29	16.97	21	0.210	0.135	0.173	0.106	0.271
	8-1-1992	17	0.506	0.351	0.387	0.212	0.987	17	1.191	0.588	1.190	0.632	1.725	17	1.753	1.462	1.047	0.533	3.007	18	0.284	0.222	0.194	0.070	0.514	17	1.678	0.059	1.619	1.411	1.008	0.489	2.900	16	0.0033	0.0015	0.0031	0.0017	0.0046	14	70.78	91.05	32.31	3.36	105.31	18	0.429	0.360	0.430	0.062	0.908
	9-1-1992	21	1.316	1.229	0.772	0.447	2.723	21	1.207	1.019	1.016	0.332	1.729	21	1.488	1.184	0.874	0.445	2.878	21	0.732	0.739	0.568	0.181	1.335	19	1.478	0.076	1.401	1.086	0.840	0.460	2.780	15	0.0042	0.0035	0.0043	0.0012	0.0059	18	53.24	61.55	33.69	0.99	123.02	21	0.360	0.390	0.195	0.068	0.617
	10-1-1992	18	0.515	0.531	0.302	0.134	0.888	18	0.730	1.240	0.376	0.270	0.670	18	0.547	0.467	0.423	0.226	0.690	18	0.272	0.272	0.212	0.060	0.406	18	0.479	0.097	0.382	0.419	0.363	0.197	0.571	15	0.0053	0.0021	0.0056	0.0030	0.0075	19	6.38	15.83	0.91	0.20	7.37	18	0.153	0.126	0.110	0.043	0.281
	11-1-1992	10	0.697	0.640	0.498	0.201	1.161	10	0.658	0.366	0.559	0.407	1.053	10	0.822	0.795	0.565	0.263	1.403	10	0.356	0.398	0.164	0.058	0.714	10	0.732	0.075	0.657	0.743	0.489	0.248	1.215	6	0.0042	0.0027	0.0034	0.0025	0.0065	8	4.12	4.03	2.94	1.02	8.09	10	0.162	0.187	0.108	0.001	0.317
	12-1-1992	16	0.573	0.370	0.447	0.287	0.869	16	0.351	0.144	0.300	0.232	0.500	16	0.555	0.284	0.448	0.332	0.848	16	0.260	0.230	0.229	0.025	0.413	16	0.489	0.065	0.424	0.245	0.433	0.326	0.725	12	0.0036	0.0014	0.0037	0.0021	0.0049	17	3.27	10.35	0.50	0.18	1.45	16	0.091	0.087	0.078	-0.002	0.190
	1-1-1993	10	0.675	0.259	0.672	0.415	0.914	10	1.058	1.979	0.393	0.310	0.849	10	0.613	0.252	0.526	0.455	0.896	10	0.294	0.159	0.228	0.151	0.450	10	0.539	0.075	0.464	0.227	0.481	0.399	0.758	2	0.0041	0.0004	0.0041	0.0039	0.0043	0						10	0.184	0.160	0.147	0.049	0.348
