
	BEGIN	END	AVG_CL	AVG_NO3	AVG_SO4	AVG_NA	AVG_SEASALT	AVG_NSSSO4	AVG_MSA	AVG_ASH	AVG_DUST	AVG_NH4
	10-27-1994	11-3-1994	6.462	0.253	1.489	4.005	13.025	0.481	0.0336	#N/A	#N/A	0.1240
	11-3-1994	11-10-1994	7.268	0.143	1.269	4.254	13.834	0.198	0.0229	#N/A	#N/A	0.0562
	11-10-1994	11-17-1994	6.421	0.321	1.450	4.020	13.074	0.438	0.0311	#N/A	#N/A	0.1243
	11-17-1994	11-24-1994	6.760	0.193	1.447	3.961	12.881	0.450	0.0354	#N/A	#N/A	0.1072
	11-24-1994	12-1-1994	2.125	0.135	1.031	1.447	4.707	0.666	0.0289	#N/A	#N/A	0.1424
	12-1-1994	12-8-1994	5.171	0.491	1.638	3.224	10.483	0.827	0.0268	#N/A	#N/A	0.1761
	12-8-1994	12-15-1994	7.628	0.243	1.619	4.453	14.481	0.499	0.0457	#N/A	#N/A	0.1347
	12-15-1994	12-22-1994	1.826	0.367	0.987	1.396	4.539	0.636	0.0297	#N/A	#N/A	0.1453
	12-22-1994	12-29-1994	6.437	0.306	1.560	3.859	12.550	0.589	0.0404	#N/A	#N/A	0.1306
	12-29-1994	1-5-1995	4.258	0.328	1.268	2.651	8.622	0.601	0.0357	#N/A	#N/A	0.1401
	1-5-1995	1-12-1995	6.118	0.164	1.196	3.710	12.065	0.262	0.0173	#N/A	#N/A	0.1019
	1-12-1995	1-26-1995	5.764	0.201	1.414	3.553	11.555	0.520	0.0367	#N/A	#N/A	0.1166
	1-26-1995	2-2-1995	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-2-1995	2-9-1995	6.994	0.154	1.391	4.026	13.093	0.377	0.0272	#N/A	#N/A	0.1105
	2-9-1995	2-13-1995	2.668	0.232	0.972	2.045	6.651	0.457	0.0191	#N/A	#N/A	0.1313
	2-13-1995	2-17-1995	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	2-17-1995	2-23-1995	1.649	0.245	0.787	1.317	4.284	0.455	0.0105	#N/A	#N/A	0.1502
	2-23-1995	3-16-1995	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
	3-16-1995	3-23-1995	2.893	0.140	0.676	1.758	5.716	0.233	0.0102	#N/A	#N/A	0.0725
	3-23-1995	3-30-1995	1.983	0.338	1.002	1.366	4.441	0.658	0.0139	#N/A	#N/A	0.2148
	3-30-1995	4-6-1995	4.792	0.249	1.134	2.765	8.991	0.438	0.0150	#N/A	#N/A	0.1250
